Bill_no.,Status
"('Relating generally to public electric utilities and facilities fuel supply for existing coal-fired plants',)"
"('Establishing Chuck Yeager Mountain State Medal of Excellence',)"
"('Expiring funds to State Board of Education, School Building Authority, School Construction Fund from School Building Authority, Debt Service Fund',)"
"('Supplemental appropriation from federal funds to DHHR, Division of Human Services',)"
"('Expiring funds to balance of Department of Commerce',)"
"('Supplemental appropriation of federal funds to Department of Education, State Board of Education, State Department of Education',)"
"('Supplemental appropriation from Treasury to DHHR, Division of Health, Laboratory Services Fund',)"
"('Supplemental appropriation from Treasury to Department of Revenue, Insurance Commissioner',)"
"('Providing counties with authority to impose county sales and use tax of up to one percent under certain circumstances',)"
"('Revising forms of living will, medical power of attorney, and combined medical power of attorney and living will',)"
"('Supplemental appropriation of federal funds to DHHR, Division of Human Services',)"
"('Removing liability from railroad company in certain instances',)"
"('Creating WV Motorsports Entertainment Complex Investment Act',)"
"('Creating WV Semi-quincentennial Commission and fund',)"
"('Updating and amending certain Archives and History Commission requirements',)"
"('Adding Curator of Division of Arts, Culture and History as ex officio voting member to Commission on Arts',)"
"('Prohibiting certain divisive acts or concepts from schools, state agencies and any groups receiving state funding',)"
"('Providing protection for property owner when someone visiting private cemetery causes damage to property',)"
"('Reallocating certain amount of net terminal income from racetrack video lottery distributed to thoroughbred and greyhound development funds at licensed racetracks of origin',)"
"('Election Security and Access Act of 2021',)"
"('Relating to juvenile competency proceedings',)"
"('Banning certain medical abortions',)"
"('Creating Office of State Inspector General',)"
"('Relating generally to elections',)"
"('Relating to interpretations of school laws',)"
"('Requiring health benefit plans provide insurance to persons with pre-existing conditions',)"
"('Relating to measures Governor may make during state of emergency',)"
"('Relating to damages for medical monitoring',)"
"('Creating Campus Self-Defense Act',)"
"('Providing earned income tax credit against personal income tax',)"
"('Creating Patrolman Cassie Johnson Memorial Act',)"
"('Requiring disclaimers on third-party, nongovernment solicitations mailed or otherwise provided to businesses',)"
"('Relating to prioritizing county and municipality officials for COVID-19 vaccinations',)"
"('Creating tax credit for individuals who complete firearms safety course',)"
"('Mandating coverage for medical care of State Police officers injured in line of duty',)"
"('Exempting certain fire departments from licensure requirements for providing rapid response services',)"
"('Removing requirement of imminent lawless action to prerequisite for crime of intimidation',)"
"('Establishing WV State Police Loan Forgiveness Program',)"
"('Updating WV Governmental Ethics Act',)"
"('Relating to online privacy protection for minors',)"
"('Lowering legal age to sell or deliver wine from 18 to 16',)"
"('Increasing required medical coverage for autism spectrum disorders',)"
"('Establishing program to pay monthly allotment to certain veterans',)"
"('Requiring BOE create and provide course in family and consumer sciences in secondary schools',)"
"('Providing WV veterans discounts on fees and charges at state parks',)"
"('Making contract consummation with state more efficient',)"
"('Requiring county boards of education and county superintendents to comply with instructions of State Board of Education',)"
"('Relating to treatment of persistent symptoms of hypothyroidism',)"
"('Removing restriction preventing medical marijuana from being in edible form',)"
"('Amending penalty of simple possession of marijuana from misdemeanor crime to civil violation',)"
"('Providing for member private, parochial, or church schools to enter into agreements with public schools to permit students to participate in athletic event or other extracurricular activities',)"
"('Requiring certain movie theaters to provide open captioning during certain showings',)"
"('Establishing deferred retirement option program for WV State Police',)"
"('Prohibiting nonsurgical, chemical abortions in WV',)"
"('Creating Corporate Anti-Subsidy Act',)"
"('Providing caregiver expenses be given to candidates running for office in WV',)"
"('Creating Youth Mental Health Protection Act',)"
"('Increasing salaries for WV State Police',)"
"('Relating to personal income tax reduction',)"
"('Relating generally to public employees grievance procedure',)"
"('Removing residency requirement for Commissioner of Highways',)"
"('Authorizing new market entrants to conduct remote sports wagering and remote interactive wagering',)"
"('Requiring county commissions create districts for towing services',)"
"('Relating to state tax on digital advertisement',)"
"('Creating Restroom Access Act',)"
"('Relating generally to payment of salary or wages under Parental Leave Act',)"
"('Appointing Director of Office of Emergency Medical Services',)"
"('Second Chance at Life Act',)"
"('Providing tuition and fee waivers at state higher education institutions for volunteers who have completed service in AmeriCorps programs in WV',)"
"('Establishing state certification process and payment system for certified community behavioral health clinics',)"
"('Requiring compensation to certain State Troopers for off-duty time when on standby',)"
"('Adding classification and base salaries of certain civilian employees of State Police Forensic Laboratory',)"
"(""Including family court judges in Judges' Retirement System"",)"
"('Removing specific restrictions on outdoor advertisements',)"
"('Abolishing environmental advocate within DEP',)"
"('Creating Student Journalist Press Freedom Restoration Act',)"
"('Prohibiting teaching of divisive acts and critical race theory in public schools',)"
"('Replacing Higher Education Policy Commission with new Office of Post-Secondary Education',)"
"('Repealing WV Workplace Freedom Act',)"
"('Relating to non-compete covenants between certain health care practitioners',)"
"('Increasing compensation for elected county officials',)"
"('Creating Fetal Heartbeat Act',)"
"('Prohibiting county airport authorities from adopting rules prohibiting possession of firearms in public areas',)"
"('Relating to amortization of annual impacts on funding deficiencies for municipal police or firefighter pension and relief funds',)"
"('Updating regulation for purchase of automobile catalytic converters',)"
"('Allowing workers’ compensation benefits for first responders diagnosed with PTSD',)"
"('Exempting certain vehicles from ad valorem taxation when used for public purpose',)"
"('Creating Closed Captioning Act',)"
"('Declaring sale and manufacture of firearms an essential business during declared emergency',)"
"('Permitting all registered voters to vote by absentee ballot',)"
"('Renaming ""motor carrier inspectors"" to ""commercial vehicle enforcement officers""',)"
"('Creating Social Media Integrity and Anti-Corruption in Elections Act',)"
"('Requiring training of certain officers for persons with autism spectrum disorder',)"
"('Requiring State Fire Commission propose rules for sprinkler protection in basements of certain buildings',)"
"('Requiring certain history and civics courses be taught in schools',)"
"('Removing salt from list and definition of minerals for severance tax purposes',)"
"('Allowing ""one button"" straight party ticket voting',)"
"('Making elections of all judges and county boards of education partisan',)"
"('Creating Tobacco Cessation Initiative Program Special Revenue Account within State Treasury',)"
"('Allowing counties to use severance tax proceeds for litter cleanup programs',)"
"('Requiring legal advertisements by State Auditor be posted to central website',)"
"('Requiring payment of increased costs to volunteer fire departments and EMS units imposed by legislative rules',)"
"('Exempting certain persons pursuing degree in speech pathology and audiology from license requirements',)"
"('Decreasing existing items of appropriation from DHHR, Division of Human Services and Division of Health',)"
"('Supplemental appropriation of federal funds to Department of Homeland Security',)"
"('Supplemental appropriation from Treasury to Law-Enforcement, Safety and Emergency Worker Funeral Expense Payment Fund',)"
"('Supplemental appropriation of federal funds to Child Care and Development',)"
"('Legalizing cannabis production, sales, and adult consumption',)"
"('Permitting concealed carry in certain areas on State Capitol Complex',)"
"('Allowing county boards of education to publish financial statements on website',)"
"('Supplementing and amending various accounts within DHHR',)"
"('Supplemental appropriation from Treasury to Division of Health, Central Office',)"
"('Supplemental appropriation of federal funds to Department of Commerce, Geological and Economic Survey',)"
"('Eliminating sunset and legislative audit provisions for certain PSC rules',)"
"('Relating to use of federal index in setting rates for collection and haulage of solid waste',)"
"('Relating to free expression on state institution of higher education campuses',)"
"(""Requiring sheriff's departments to participate and utilize Handle With Care Program for trauma-inflicted children"",)"
"('Prohibiting insurance companies from raising rates for policies that allow nursing home care',)"
"('Providing for cooperation between law-enforcement agencies and military authorities',)"
"('Permitting retailers to assume sales or use tax assessed on tangible personal property',)"
"('Exempting Social Security from personal income tax',)"
"('Providing fee for processing of criminal bonds',)"
"('Establishing public easement by prescription on private property',)"
"('Exempting parade participants from motorcycle helmet requirements',)"
"('Creating Student Journalist Press Freedom Restoration Act',)"
"('Creating WV New Markets Jobs Act',)"
"('Creating Psychology Interjurisdictional Compact',)"
"('Transferring property located in Union Carbide Corporation Tech Center to City of South Charleston',)"
"('Requiring managed care organizations to report certain mental health parity information',)"
"('Appointing Director of Office of Emergency Medical Services',)"
"('Requiring Medicaid managed care organizations use open network of laboratory providers',)"
"('Relating to venue for bringing civil action or arbitration proceedings under construction contracts',)"
"(""Clarifying that unpaid restitution does not preclude person from obtaining driver's license"",)"
"('Clarifying process for filling vacancies in Legislature',)"
"('Requiring off-highway vehicle gas tax be used for state road mapping',)"
"(""Relating generally to miners' safety, health, and training standards"",)"
"(""Decreasing and increasing appropriations from General Revenue to Executive, Governor's Office"",)"
"(""Supplemental appropriation from General Revenue to Department of Veterans' Assistance, Veterans Home"",)"
"('Allowing State Superintendent of Schools define classroom teachers certified in special education',)"
"('Creating Natural Resources Anti-Commandeering Act',)"
"('Supplemental appropriations to Dept. of Commerce, Dept. of Education, Bureau of Senior Services, and Civil Contingent Fund',)"
"('Clarifying amount of deputy sheriff annual salary increase',)"
"('Adding Curator of Division of Arts, Culture, and History as ex officio voting member to Library Commission',)"
"('WV Monument and Memorial Protection Act',)"
"('Supplemental appropriation to Division of Human Services and Division of Health, Central Office',)"
"('Updating provisions of Medical Professional Liability Act',)"
"('Mandating extended supervision for defendants convicted of stalking and related felonious acts',)"
"('Permitting graduate athletes to participate in interscholastic athletic events during 2021-2022 school year',)"
"('Requiring all eligible voters to vote in general election',)"
"('Updating provisions of Medical Professional Liability Act',)"
"('Prohibiting unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act',)"
"('Updating certain definitions and terms used in WV Personal Income Tax Act',)"
"('Requiring health insurance coverage for persons with diabetes',)"
"('Providing procedures for decreasing or increasing corporate limits by annexation',)"
"('Creating mechanism for enforcement of spousal support',)"
"('Establishing Civil Air Patrol license plate',)"
"('Creating annual adjustment to motor vehicle excise tax',)"
"('Relating to reasonable force in defense of self, real, and personal property',)"
"('Creating WV Monument and Memorial Protection Act of 2021',)"
"('Reestablishing prevailing wage for certain state government contracts',)"
"('Relating to involuntary hospitalization, competency, and criminal responsibility of persons charged or convicted of certain crimes',)"
"('Establishing searchable databases for registered corporation and sole proprietorship information',)"
"('Exempting certain persons from personal income tax',)"
"('Creating Multi-Phase Procurement for Broadband Projects Act',)"
"('Computing retirement benefits for certain members of Legislature under WV Public Employees Retirement Act',)"
"('Requiring solid waste authorities provide roll-off dumpster for residents',)"
"('Establishing County Cleanup Committee within DNR',)"
"('Establishing Adventure Travel Recreation Program within DNR',)"
"('Requiring impact statement in certain instances of school closing or consolidation',)"
"('Relating to school aid formula and minimum student enrollment',)"
"('Relating to oversight fees for certain gas-producing wells',)"
"('Relating generally to inmate good time',)"
"('Relating to physician assistant practice act',)"
"('Creating Recovery and Hope Act',)"
"('Encouraging public access and use of state roads and trails',)"
"('Supplemental appropriation from General Revenue to WV Community and Technical College Education, Control Account',)"
"('Relating generally to Coal Severance Tax Rebate',)"
"('Supplemental appropriation from State Fund, General Revenue to WV State Police',)"
"('Supplemental appropriation from State Road Fund to DMV',)"
"('Supplemental appropriation to Oil and Gas Reclamation Fund',)"
"('Supplemental appropriation to WV Commuter Rail Access Fund from Insurance Commission Fund',)"
"('Relating generally to creating the West Virginia Jumpstart Savings Program',)"
"('Relating to Broadband',)"
"('Relating to the authority and obligations of the Governor and Legislature when in declared states of preparedness and emergency',)"
"('Permit a licensed health care professional from another state to practice in this state through telehealth when registered with the appropriate West Virginia board',)"
"('Relating to health care costs',)"
"('Relating to the West Virginia Contractor Licensing Act',)"
"('Provide for occupational licenses or other authorization to practice by recognition for qualified applicants from other states ',)"
"('Amending requirements for licensure relating to elevator mechanics, crane operators, HVAC, electricians, and plumbers',)"
"('Relating to limitations on the use of wages and agency shop fees by employers and labor organizations for political activities',)"
"('Permit licensees to continue to sell nonintoxicating beer and wine for off premises consumption without additional licenses or fees',)"
"('Eliminating any time requirements for part time personnel to work during a working year',)"
"('Relating to public charter schools',)"
"('Relating to the Hope Scholarship Program',)"
"('Relating to role of the Legislature in appropriating federal funds',)"
"('Requiring rules of local boards of health to be approved by the county commission except in cases of a public health emergency',)"
"('Relating to the “COVID-19 Essential Jobs Protection Act”',)"
"('Rewriting the Criminal Code',)"
"('Relating generally to economic development loans and loan insurance issued by state',)"
"('Elevating Economic Development and Tourism Departments',)"
"('Relating to the West Virginia Employment Law Worker Classification Act',)"
"('Creation of West Virginia COVID-19 Immunity Act',)"
"('Budget Bill, making appropriations of public money out of the treasury in accordance with section fifty-one, article six of the Constitution',)"
"('Relating generally to West Virginia Appellate Reorganization Act of 2021',)"
"('Expand use of telemedicine to all medical personnel',)"
"('Provide liquor, wine, and beer licensees with some new concepts developed during the State of Emergency utilizing new technology to provide greater freedom to operate in a safe and responsible manner',)"
"('Relating to the modernization of the collection of income taxes by adopting uniform provisions relating to the mobile workforce',)"
"('Relating to personal income tax reduction',)"
"('Exempting veterinarians from the requirements of controlled substance monitoring',)"
"('Relating to teacher preparation clinical experience programs',)"
"('Establishing a nursing program at Concord University',)"
"('West Virginia Development Achievements Transparency Act',)"
"('Issuing specialty motor vehicle registration plates for businesses owning a fleet of 25 or more vehicles',)"
"('Establishing matrix necessary for an institution of higher education to become exempt from the Higher Education Policy Commission',)"
"('Establishing a comprehensive addiction recovery center certification and grant program in this state',)"
"('Permitting the resident lineal descendants of landowners to hunt, trap or fish on that resident landowner’s property without a license',)"
"('Removing the requirement that real estate brokers, associate brokers and salespeople maintain a main office',)"
"('Providing protections, under certain circumstances, to owners of livestock and other domestic animals',)"
"('Revising requirements relating to the issuance and renewal of handicap vehicle placards',)"
"('Expunging records of unsubstantiated complaints made by the Department of Health and Human Resources against teachers',)"
"('Adopting and implementing a “Heat and Humidity Practice Policy” for all interscholastic athletic events',)"
"('County Budget Flexibility Act',)"
"('Exempting sales of small arms and small arms ammunition from state sales and use taxes',)"
"('Authorizing the West Virginia Tourism Office to enter into an agreement with the Division of Highways to provide staff at the welcome centers',)"
"('Establishing Next Generation 911 services in this state',)"
"('Providing limitations on nuisance actions against fire department and emergency medical services',)"
"('West Virginia Emergency Responder Service Tax Credit Act',)"
"('Changing the licensing requirement for certain casino employees',)"
"('Relating to Deputy Sheriff Retirement System',)"
"(""Senior Farmers' Market Nutrition Program Fund"",)"
"('Establishing the West Virginia Healthy Food Crop Block Grant Program',)"
"('Allowing workers’ compensation benefits for first responders diagnosed with post-traumatic stress disorder',)"
"('Relating to occupational pneumoconiosis claims',)"
"('Authorizing the DMV to issue certain vital records in the custody of the state registrar',)"
"('Requiring parents or guardians to participate in programs for juveniles in an out-of-home placement',)"
"('Establishing a procedure to name a kinship legal guardian',)"
"('Changing the beginning time for beer and wine sales on Sunday from one p.m. to 10 a.m.',)"
"('Establishing the Summer Feeding for All initiative',)"
"('Providing a pay increase for full-time adult protective service workers',)"
"('Establishing a system for issuing permits for persons to provide rehabilitation of orphaned, sick and injured wildlife',)"
"('Reducing the criminal penalty for possession of small amounts of marijuana or paraphernal',)"
"('Katherine Johnson College Award Program',)"
"('Creating a Small Business and Minority Populations Economic and Workforce Development Taskforce',)"
"('Relating to unfair or deceptive telemarketing acts or practices',)"
"('Biometric Information Privacy Act',)"
"('Allowing low income senior citizens to receive certain tax credits without filing a state income tax return',)"
"('Providing school days for registering eligible students to vote and to provide transportation to voting places',)"
"('Relating to designation of social workers in the Department of Health and Human Services',)"
"('Establishing a special memorial day to be known as Juneteenth honoring human rights and the end of slavery in the United States',)"
"('Economic and Community Development Task Force',)"
"('Relating to mandatory drug testing for state legislators and teachers',)"
"('Eliminating the requirement that schools be closed on election days',)"
"('Providing special license plate to support adoption',)"
"('Making it a felony to knowingly expose another individual to HIV',)"
"('Implementing the recommendations of the studies required by the Natural Gas and Horizontal Well Control Act',)"
"('Removing the registration fee for a vehicle operating on a combination of electricity and petrochemical fuels',)"
"('Removing all costs and fees from a Silver Star registration plate',)"
"('Eliminating the certificate of need program',)"
"('Nondiscrimination in Involuntary Denial of Treatment Act',)"
"('Providing equitable distribution to county boards of education of reimbursement costs of special needs students',)"
"('“Bank Time” used in reaching 180 instructional requirement',)"
"('Relating to withholding tax on income of nonresidents from natural resources royalty payments',)"
"('Changing the persons responsible for the taxes on soft drinks and soft drink syrups',)"
"('Relating to age verification requirements for delivery sales of tobacco',)"
"('Amend section providing for waiver of tuition and fees for older persons auditing certain college classes.',)"
"('Relating to tobacco usage restrictions',)"
"('Relating to requiring a parolee or probationer found to have suffered with addiction to participate in a support service.',)"
"('Relating to requiring the Office of Health Facility Licensure and Certification to inspect office-based medication-assisted treatment programs at least every 24 months.',)"
"('Relating to requiring a court to verify certain conditions are met before a child who has been removed from a home may be returned to that home.',)"
"('Defining a work day for school service personnel and removing a provision relating to employment of licensed practical nurses',)"
"('Relating to a customer constructing a connection or other infrastructure necessary for the customer to connect to the public utility',)"
"('Creating a process by which voters may recall a county ordinance in a special election',)"
"('Requiring each high school student to complete a full credit course of study in personal finance',)"
"('Relating to exemptions for the United States Department of Veterans Affairs Medical Foster Homes',)"
"('Relating to the juvenile restorative justice programs',)"
"('Providing increased protections for the welfare of domestic animals',)"
"('Reinstating the film investment tax credit',)"
"('Relating to calculating net enrollment for home-school students enrolled in one virtual school course in the public school system',)"
"('Relating to permits issued by the Board of Barbers and Cosmetologists',)"
"('Redistricting of the Senate into 16 two-member senatorial districts and redistricting the House into 96 single member districts',)"
"('Relating to payment for the construction of any expanded or upgraded public service district facilities in certain circumstances',)"
"('Reinstating the film tax credits',)"
"('Relating to required notices for air quality permits prior to the permit being granted',)"
"('Establishing an insurance program for health and medical insurance coverage to be offered in counties with limited insurance providers',)"
"('Relating to compensation paid to landowners when interest in property taken by eminent domain is for a nongovernmental entity',)"
"('West Virginia Beverage Container Recycling and Litter Control Act',)"
"('Modifying legislative rules for vital statistics relating to death certificates',)"
"('West Virginia Native American Tribes Unique Recognition, Authentication and Listing Act',)"
"('Taxation With Representation Act',)"
"('Relating to vocational and technical education programs',)"
"('Relating to senior citizens attending college classes at state institutions without receiving college credit',)"
"('Including emergency response vehicles in the single fee program for EZ Pass transponders',)"
"('Prohibiting provisions within settlement agreements that prevent the disclosure of factual information related to a claim filed in a civil action',)"
"('Relating to paving contracts',)"
"('Prohibiting civil rights violations based on disability, gender identity or sexual orientation',)"
"('Economic Diversification Act of 2021',)"
"('Verifying legal employment status of contractors and vendor’s employees for certain road and bridge contracts',)"
"('Providing certain employees of the Highways increases in annual pay',)"
"('Providing school days to register and transport eligible students to vote',)"
"('Relating to electioneering or distributing literature at early voting locations',)"
"('Ensuring health insurance coverage for residents with preexisting conditions',)"
"('Katherine Johnson and Dorothy Vaughan Fair Pay Act of 2020',)"
"('Implementing The Agreement Among the States to Elect the President and Vice President by National Popular Vote',)"
"('Reducing personal income tax rates when personal income tax reduction fund is funded at a certain threshold',)"
"('Requiring licensees authorized to serve alcoholic liquors or nonintoxicating beer to have certain liability insurance coverage',)"
"('Creating a School Consolidation Task Force',)"
"('Creating the West Virginia Residential Furniture and Children’s Products Flame Retardants Act',)"
"('Relating to the state’s Medicaid Home and Community-Based Services Intellectual/Developmental Disability Waiver',)"
"('Family Protection Act',)"
"('Establishing an industrial water extraction fee',)"
"('Relating to the Consumer Credit and Protection Act',)"
"('Clarifying that the county or regional solid waste authority that may impose and collect an additional solid waste assessment fee is the county or region where the waste originates',)"
"('Relating to horizontal well control standards',)"
"('Repealing the Workplace Freedom Act of 2016 and restoring the prior provisions of the Labor-Management Relations Act',)"
"('Providing that state retirees’ insurance benefits be restored to the benefit levels that existed in 2015',)"
"('Providing that political party caucus meetings are not exempt from open proceedings requirements',)"
"('Granting counties and municipalities a portion of the net terminal income from racetrack video lottery',)"
"('Repealing the article on unfair trade practices',)"
"('Defend the Guard Act',)"
"('Permitting residential customers to deduct up to 50 percent of their electric utility payments from their federal adjusted gross income',)"
"('Redirecting excise tax revenue on bottled soft drinks from West Virginia University schools to the Public Employees Insurance Agency',)"
"('Relating to participation in school sports',)"
"('Establishing seniority rights for public employees',)"
"('Declaring a shortage of qualified bus operators and allowing retired bus operators to accept employment',)"
"('Modifying the definitions and pay grades of certain school cafeteria personnel',)"
"('Relating to student aide class titles',)"
"('Providing a tax credit for families who have foster children',)"
"('Providing that the Division of Motor Vehicles identification cards be issued at no cost',)"
"('Imposing a general data mining service tax on commercial data operators',)"
"('Allowing a personal income tax deduction for a foster care child',)"
"('Relating to driving restrictions in school zones',)"
"('Listing contractor classifications on a contractor license',)"
"('Requiring test in civics to graduate high school or obtain GED',)"
"('Permitting former members of the Legislature to remain eligible for insurance plans at full cost to the member and at no cost to the state',)"
"('Requiring all boards to be located in the same area and office space',)"
"('Creating three separate job titles for school bus operators',)"
"('Relating generally to the payment of salary or wages under the Parental Leave Act',)"
"('Forbidding displays relating to sexuality in public school facilities and forbidding the teaching of sexuality in public schools',)"
"('Relating to the Public Service Commission',)"
"('Preserving and protecting the right to keep and bear arms',)"
"('Issuing identification documents to homeless individuals residing at homeless shelters',)"
"('Relating to the removal of standardized testing in public schools',)"
"('Relating to qualifications for a commercial driver’s license permit',)"
"('Requiring disclosure of nonpublic personal information required in employment cases',)"
"('Requiring certain municipalities to pay for the incarceration of inmates',)"
"('Relating to crimes against property',)"
"('Reducing the cost of prescription drugs',)"
"('Exempting motor vehicles from personal property tax',)"
"('Relating to the transfer of certain revenues derived from lottery activities generally, restoring distribution to the West Virginia Infrastructure Fund to 2013 rates and decreasing the funds available for grants therefrom',)"
"('Life at Conception Act of 2021',)"
"('Relating to insurance unfair trade practices',)"
"('Vulnerable Child Protection Act',)"
"('College Graduate Tax Credit',)"
"('Health Care Transparency Act',)"
"('West Virginia Monument and Memorial Protection Act of 2021',)"
"('Removing the permit requirement for a person over 21 to possess a concealed handgun in a motor vehicle on school property',)"
"('Making it a criminal offense to escape or attempt to escape from the custody of a Community Corrections program',)"
"('Permitting the issuance of a state issued identification card without a photo on the card under certain conditions',)"
"('Facilitating Business Rapid Response to State Declared Disasters Act of 2021',)"
"('West Virginia Civil Authority Act',)"
"('Prohibiting the regulation and licensing of occupations by local government',)"
"('Allowing a personal income tax deduction for a stillborn child',)"
"('Relating to the Ryan Brown Fund',)"
"('Relating to posting of information regarding the WV Tobacco Quitline',)"
"('Increasing the penalties for exposure of governmental representatives to fentanyl or any other harmful drug',)"
"('State Settlement and Recovered Funds Accountability Act',)"
"('Relating to tobacco usage restrictions',)"
"('West Virginia Earned Income Tax Credit',)"
"('Establishing reimbursement rates for congregate and in-home meals',)"
"('Changing the title of the Commissioner of Culture and History to the Curator of Arts, Culture, and History, and increasing the salary',)"
"('Authorizing ordinances allowing the municipal court to place a structure, dwelling or building into receivership under certain circumstances',)"
"('Requiring paving contracts for state highways to have special requirements to prevent potholes',)"
"('Creating a tax credit for improving facades in historic districts',)"
"('Creating a litigation practice license for social workers',)"
"('Establishing the Minority Health Advisory Team',)"
"('Relating to motor vehicle crash reports',)"
"('Providing a tax credit for families who have foster children',)"
"('West Virginia Firearms Freedom Act',)"
"('Prohibiting employees of the state who have convictions for driving under the influence from driving or operating state owned vehicle',)"
"('Creating the Intrastate Coal and Use Act',)"
"('Allowing the issuance of special licenses for one-day charitable events for the sale, serving, and auctioning of beer, and alcoholic liquors',)"
"('Repealing the section of code relating to unlawful military organizations',)"
"('Creating the West Virginia Intrastate Commerce Improvement Act',)"
"('Ending tolls on the West Virginia Turnpike effective July 1, 2021',)"
"('Providing for a special “Don’t Tread On Me” license plate',)"
"('Streamlining the process of abandoned mineral interests',)"
"('Discontinuing the use of common core standards and assessments in the state',)"
"('Save the Hospitals Act',)"
"('Exempting social security benefits from personal income tax',)"
"('Exempting firefighters and volunteer firefighters from payment of income and real and personal property taxes',)"
"('Exempting personal income earned by individuals working as teachers at primary and secondary schools from personal income tax',)"
"('Abolishing the Personal Income Tax',)"
"('Continuing personal income tax adjustment to gross income of certain retirees receiving pensions from defined pension plans',)"
"('Relating to the hunting of coyotes',)"
"('Home Instruction Tax Relief Act',)"
"('Allowing a group of affiliated voters to become a recognized political party under certain criteria',)"
"('Right to keep and bear arms',)"
"('Exempting law-enforcement officers from payment of income and personal property taxes',)"
"('Creating an enhanced penalty for certain aggravated serious traffic offenses',)"
"('Relating to requiring pharmacist to check the Controlled Substance Monitoring Database.',)"
"('Providing that the sale and purchase of copper as scrap metal may not be completed with the payment of cash',)"
"('Relating to the establishment of an insurance innovation process',)"
"('Prohibiting vehicles from driving slow in the left lane',)"
"('Repealing section of code authorizing additional registration fees for alternative fuel vehicles',)"
"('Relating to complaints against public agencies to obtain records through the Freedom of Information Act',)"
"('Authorizing local units of government to adopt local energy efficiency partnership programs',)"
"('Protecting consumers from surprise bills by health care providers',)"
"('Prohibiting blasting within 625 feet of an occupied dwelling',)"
"('Assessing the health impact of any new air or water rule, or modification of an existing air or water rule, proposed by the Department of Environmental Protection',)"
"('Requiring persons who are in the business of purchasing precious metals and precious gems to photograph those purchases and to transmit the photographs to law-enforcement',)"
"('The Healthy and Safe Workplace Act',)"
"('Prohibiting confidential settlement terms of a contested case involving sexual harassment, sexual abuse, or sexual assault in a state administrative proceeding',)"
"('Providing a process by which a city may hold an election to recall an ordinance',)"
"('Coordinating a plan to provide the first two years of post-secondary education for free',)"
"('Requiring public hearing for applicant for air quality permit relating to facility of certain investment value',)"
"('Relating to net neutrality for state government',)"
"('Relating to unlawful panhandling and solicitation',)"
"('Allowing free camping at state parks for certain resident veterans',)"
"('Granting tax credits for parents and legal guardians whose children are in a home schooling program or private school',)"
"('Restricting the performance of abortions and acquiring, providing, receiving, otherwise transferring, or using fetal body parts',)"
"('Relating to choice of law provisions in franchise agreements',)"
"('Affordable Medicaid Buy-In Program',)"
"('Relating to special license plates for vehicles titled in the name of the Division of Public Transit',)"
"('West Virginia Saving Money and Reducing Time Prize Program',)"
"('Relating to a tax rebate for facilities or processes that result in additional employment and an additional demand for electrical power',)"
"('Relating to the West Virginia Secondary School Activities Commission',)"
"('Prohibiting manufacturing plants from locating within two air miles of an existing public school',)"
"('Requiring the authority to obtain approval from county board of education for agreements that involve tax revenues expended for public schools',)"
"('Prohibiting payroll deductions to electioneering organizations',)"
"('Permitting customers and developers to enter into solar power purchase agreements',)"
"('Relating generally to the issuance of driver licenses',)"
"('Reorganizing various boards and authorities for the licensing and oversight of trades, occupations, and professions',)"
"('Requiring Medicaid and insurance coverage for treatment of pediatric autoimmune neuropsychiatric disorders',)"
"('Relating to forgery and other crimes concerning lottery tickets',)"
"('Establishing different rates of taxation for tobacco products for certain border counties',)"
"('Allowing deductions to determine adjusted gross income for student loan payments or mortgage payments in determining child support',)"
"('Providing that a municipal services user fee may not be imposed on employees of the state',)"
"('Relating to extended supervision for certain drug offenders',)"
"('Establishing an intravenous drug user treatment and commitment process',)"
"('Creating a cause of action for injuries suffered in a gun- free zone',)"
"('Relating to procurement of child placing services',)"
"('Placing a moratorium on new patients admitted to state facilities',)"
"('Relating to the controlled substance monitoring database',)"
"('Update the regulation of pharmacy benefit managers',)"
"('Hospital exemptions from certificate of need',)"
"('Relating to collaborative pharmacy practice and updating rulemaking authority',)"
"('Relating to expanding certain insurance coverages for pregnant women',)"
"('Establishing an optional bus operator in residence program for school districts',)"
"('Changing the recommended guidelines for full-day and half-day cooks to the minimum ratio of one cook for every 110 meals',)"
"('Creating a state-wide email address directory',)"
"('Transferring the Office of Medical Cannabis to the Department of Agriculture',)"
"('Requiring compulsory immunization of public school children',)"
"('Informed Consent Protection Act',)"
"('Dividing pretrial detention jail costs between arresting authorities',)"
"('Relating to abolishing spousal support',)"
"('Eliminate the restriction to carry a firearm on the state capitol complex grounds. ',)"
"('Authorizing the Governor to seek the return of fugitives',)"
"('Establishing an intravenous drug user treatment and commitment process',)"
"('Creating a Children’s Health Insurance Program buy-in program for children of families above 300 percent of the federal poverty level',)"
"('Establishing a higher education scholarship program for foster children',)"
"('Involuntary drug and alcohol treatment ',)"
"('Modifying the method of calculation of the employer and employee contribution percentages for public employee insurance premiums',)"
"('Establishing a tax on the production of natural gas to fund the public employees insurance program',)"
"('Creating a healthy living tax credit against the personal income tax',)"
"('Creating a state-administered wholesale drug importation program',)"
"('Relating to Capitol Complex Security Access',)"
"(""Making a supplementary appropriation to the Department of Veterans' Assistance- Veterans Home"",)"
"('Providing for solar energy production on formerly mined land',)"
"('Limiting pay of members of the Legislature when a budget bill has not been passed',)"
"('Relating to compulsory immunizations',)"
