Bill_no.,Status,Doc_name,Doc _url
SB 298,Pending,Limiting landowner liability for recreational use of lands,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB298 INTR.pdf
SB 299,Pending,"Providing liquor, wine, and beer licensees with new concepts developed during state of emergency",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB299 INTR.pdf
SB 300,Pending,Prohibiting legislators and part-time public officials from having interest in public contracts under certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB300 INTR.pdf
SB 301,Pending,"(""Relating to patients' rights and vaccinations"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB301 INTR.pdf
SB 302,Pending,Prohibiting gender-based price discrimination,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB302 SUB1.pdf
SB 303,Pending,Creating Local Government Labor and Consumer Marketing Regulatory Limitation Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB303 SUB1 ENG.pdf
SB 304,Pending,Requiring Secretary of State maintain online database of religious organizations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB304 INTR.pdf
SB 305,Signed,Providing exemption from consumers sales and service tax for certain aircraft maintenance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB305 ENR.pdf
SB 306,Pending,Relating to removal of animals left unattended in motor vehicles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB306 INTR.pdf
SB 307,Signed,Relating generally to in-state tuition rates for certain persons,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB307 ENR.pdf
SB 308,Pending,Modifying requirement that racetrack participate in WV Thoroughbred Development Fund by certain date,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB308 INTR.pdf
SB 309,Pending,Creating felony offense of aggravated cruelty to animals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB309 INTR.pdf
SB 310,Pending,Providing for nonpartisan elections of county prosecuting attorneys,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB310 INTR.pdf
SB 311,Pending,Relating to acquisition and disposition of property by urban development authority,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB311 INTR.pdf
SB 312,Pending,Allowing state and federal criminal history record check of each adult living in residence when minor child is placed there due to emergency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB312 INTR.pdf
SB 313,Pending,Authorizing year-round hunting of coyote,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB313 INTR.pdf
SB 314,Pending,Regulating pawnbrokers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB314 SUB1.pdf
SB 315,Pending,Protecting consumers against businesses using automatic renewals without consent,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB315 INTR.pdf
SB 316,Pending,"(""Eliminating suspension of driver's license for failure to pay court fines and costs"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB316 INTR.pdf
SB 317,Pending,Providing protection from civil liability for certain individuals rescuing animals locked in unattended vehicles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB317 INTR.pdf
SB 318,Signed,Relating generally to public notice of unclaimed property held by State Treasurer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB318 SUB2 ENR.pdf
SB 319,Pending,Relating to establishing Community Health Equity Initiative Demonstration Project,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB319 INTR.pdf
SB 320,Pending,"(""Allowing workers' compensation benefits for first responders diagnosed with PTSD"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB320 INTR.pdf
SB 321,Pending,Clarifying and updating language regarding Fairmont State alumni license plates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB321 SUB1.pdf
SB 322,Pending,Relating generally to the payment of salary or wages under the Parental Leave Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB322 INTR.pdf
SB 323,Pending,Prohibiting Natural Resources Commission from establishing bag limit for antlered deer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB323 INTR.pdf
SB 324,Pending,Clarifying municipal B&O taxation where business activity occurs,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB324 INTR.pdf
SB 325,Pending,Repealing article relating to mandatory motor vehicle state inspections,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB325 INTR.pdf
SB 326,Pending,Relating to retirement and pension benefits of certain members of PERS and Teachers Retirement system,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB326 INTR.pdf
SB 327,Pending,Establishing contribution holiday for public pension plans funded at 130 percent or more,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB327 INTR.pdf
SB 328,Pending,Collecting and analyzing statistical information pertaining to terminating pregnancies under Medicaid Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB328 INTR.pdf
SB 329,Pending,Relating to outdoor advertising regulated by DOH,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB329 INTR.pdf
SB 330,Pending,Allowing grocery stores to sell certain amount of WV-made wine without license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB330 INTR.pdf
SB 331,Pending,Establishing 80 miles per hour speed limit on state highways,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB331 INTR.pdf
SB 332,Pending,Providing procedure for WV to select delegates to Article V Convention,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB332 SUB1.pdf
SB 333,Pending,Establishing WV Freedom of Conscience Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB333 INTR.pdf
SB 334,Signed,Establishing license application process for needle exchange programs,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB334 SUB1 ENR.pdf
SB 335,Signed,Relating to WV Invests Grant Program for students at accredited community and technical college,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB335 SUB2.pdf
SB 336,Pending,Relating to nonferrous metal sales and transportation to secondary recycler,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB336 SUB1.pdf
SB 337,Pending,Creating Life at Conception Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB337 INTR.pdf
SB 338,Signed,Creating Fire Service Equipment and Training Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB338 INTR.pdf
SB 339,Pending,Expanding types of agricultural operations that are protected from nuisance and other legal actions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB339 SUB2.pdf
SB 340,Pending,Requiring all local special levies be held on regularly scheduled statewide election ballot,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB340 INTR.pdf
SB 341,Pending,"(""Requiring participation in athletic or sporting events be based on athlete's biological gender"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB341 INTR.pdf
SB 342,Pending,Allowing certain schools with enrollment of 25 or fewer students to operate as nonpublic micro-school,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB342 INTR.pdf
SB 343,Signed,Authorizing DMV to process online driver’s license or identification card change of address,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB343 SUB1 ENR.pdf
SB 344,Signed,Relating to credit for qualified rehabilitated buildings investment,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB344 SUB1 enr.pdf
SB 345,Signed,Expanding alcohol test and lock program to include offenders with drug-related offense,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB345 SUB1 ENR.pdf
SB 346,Signed,Authorizing DMV use electronic means when providing notice for licensees and vehicle owners,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB346 SUB1 ENR.pdf
SB 347,Pending,Allowing private club licensees provide alcoholic beverage carryout,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB347 INTR.pdf
SB 348,Pending,Relating to requirements for compulsory school attendance for certain students,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB348 INTR.pdf
SB 349,Pending,Limiting DHHR and certain state and local boards of health in gaining access to certain entities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB349 INTR.pdf
SB 350,Pending,Providing for collection and remittance of hotel occupancy tax by certain marketplace facilitators,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB350 INTR.pdf
SB 351,Pending,Declaring Israel as prominent trading partner,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB351 SUB1.pdf
SB 352,Pending,Creating offenses of conversion of leased or rented personal property,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB352 INTR.pdf
SB 353,Pending,Creating Second Amendment Preservation Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB353 INTR.pdf
SB 354,Pending,Relating to Medicaid reform,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB354 INTR.pdf
SB 355,Pending,Relating to emergency powers of Governor,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB355 INTR.pdf
SB 356,Signed,"(""Allowing for written part of drivers' exam given in high school drivers' education course"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB356 SUB1 ENR.pdf
SB 357,Pending,Creating 2021 Farm Bill,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB357 INTR.pdf
SB 358,Signed,Removing prohibition on ATMs located in area where racetrack video lottery machines are located,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB358 ENR.pdf
SB 359,Signed,Informing landowners when fencing that may contain livestock is damaged due to accident,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB359 enr.pdf
SB 360,Pending,Allowing poll workers to work full and half days,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB360 SUB1.pdf
SB 361,Signed,Extending supervision for conviction of soliciting minor and using obscene matter with intent to seduce minor,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB361 SUB1 ENR.pdf
SB 362,Pending,Creating Orphan Oil and Gas Well Prevention Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB362 INTR.pdf
SB 363,Pending,Relating to certification requirements of crane operators,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB363 INTR.pdf
SB 364,Pending,Limiting use of wages by employers and organizations for political activities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB364 INTR.pdf
SB 365,Pending,WV Firearms Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB365 INTR.pdf
SB 366,Pending,Relating to homeschool requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB366 INTR.pdf
SB 367,Pending,Relating to advertisements from political candidates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB367 INTR.pdf
SB 368,Signed,Authorizing DEP to develop Reclamation of Abandoned and Dilapidated Properties Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB368 SUB1 ENR.pdf
SB 369,Pending,Permitting civil actions against social media sites for censorship,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB369 INTR.pdf
SB 370,Pending,Requiring certain documents that contain wage records be considered confidential,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB370 SUB1.pdf
SB 371,Pending,Permitting Commissioner of DOH to make money transfers within State Road Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB371 INTR.pdf
SB 372,Signed,Providing greater discretion to WV Board of Medicine to approve graduate clinical training,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB372 ENR.pdf
SB 373,Pending,Relating to modernizing collection of income taxes for mobile workforce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB373 INTR.pdf
SB 374,Signed,"Increasing threshold for bid requirement to $10,000 to be consistent with other state agencies",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB374 ENR.pdf
SB 375,Signed,Relating to county boards of education policies for open enrollment,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB375 SUB1 ENR.pdf
SB 376,Signed,Removing obsolete provisions regarding DOH standards for studded tires and chains,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB376 ENR.pdf
SB 377,Signed,Relating to extension for boil water advisories by water utility or public service district,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB377 SUB1 ENR.pdf
SB 378,Pending,Requiring participation in drug court program for certain offenders,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB378 INTR.pdf
SB 379,Pending,"Requiring persons convicted of certain crimes on or after March 8, 1995, provide DNA samples",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB379 INTR.pdf
SB 380,Pending,Relating generally to Electronic Telecommunication Open Infrastructure Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB380 INTR.pdf
SB 381,Pending,Creating nonresident three-day fishing license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB381 INTR.pdf
SB 382,Pending,Removing requirement that Commissioner of DOH regulate studded tires,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB382 INTR.pdf
SB 383,Pending,Relating to exempting certain organizations from property taxation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB383 SUB1.pdf
SB 384,Pending,Increasing minimum salaries for Bureau for Child Support Enforcement attorneys,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB384 INTR.pdf
SB 385,Pending,Relating to requirements of procurement process in performance-based contracts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB385 INTR.pdf
SB 386,Pending,Relating to fees for certain military special registration plates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB386 INTR.pdf
SB 387,Signed,Relating to drug screening of applicants for cash assistance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB387 SUB1 ENR.pdf
SB 388,Pending,Creating Office of Quality Assurance and Evaluation within DHHR,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB388 INTR.pdf
SB 389,Signed,"Relating to State Resiliency Office responsibility to plan for emergency and disaster response, recovery, and resiliency",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB389 SUB1 ENR.pdf
SB 390,Signed,Reorganizing Health Care Authority under DHHR and clarifying responsibilities for all-payer claims database,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB390 ENR.pdf
SB 391,Pending,Relating to study of child protective services and foster care workforce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB391 INTR.pdf
SB 392,Signed,Creating penalty for impersonating law-enforcement officer or official,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB392 SUB1 ENR.pdf
SB 393,Pending,Requiring contractors provide county boards of education number of units constructed prior to issuing permit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB393 INTR.pdf
SB 394,Pending,"Exempting certain persons from hunting, trapping, and fishing license fees",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB394 INTR.pdf
SB 395,Pending,Expanding PEIA Finance Board membership,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB395 SUB1.pdf
SB 396,Pending,Providing limitations on nuisance actions against fire department or EMS fixed sirens,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB396 ORG.pdf
SB 397,Signed,Relating to health care provider tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB397 ENR.pdf
SB 398,Signed,Limiting eligibility of certain employers to participate in PEIA plans,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB398 SUB1 ENR.pdf
SB 399,Pending,Amending reporting requirements for Office of Health Facility Licensure and Certification’s website,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB399 INTR.pdf
SB 400,Pending,Relating to costs and interest in eminent domain condemnation proceedings,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB400 INTR.pdf
SB 401,Signed,Relating to WV Consumer Credit and Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB401 SUB1 ENR.pdf
SB 402,Pending,Relating to tax exemption for child support due,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB402 INTR.pdf
SB 403,Pending,Creating Timber Co-tenancy Modernization and Majority Protection Act and Unknown and Unlocatable Timber Interest Owners Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB403 INTR.pdf
SB 404,Signed,Modifying well work permits issued by DEP Office of Oil and Gas,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB404 ENR.pdf
SB 405,Pending,"Amending definition of ""aboveground storage tank""",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB405 INTR.pdf
SB 406,Pending,Removing Hepatitis B vaccine from list of compulsory immunizations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB406 INTR.pdf
SB 407,Pending,Assessing wildlife impact fee on wind power projects,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB407 INTR.pdf
SB 408,Pending,Relating to maintenance and repair of roads and highways,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB408 INTR.pdf
SB 409,Pending,Transferring child welfare enforcement responsibilities to State Police,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB409 INTR.pdf
SB 410,Pending,Relating to time limitation for filing occupational pneumoconiosis claims,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB410 INTR.pdf
SB 411,Pending,Requiring probationers who served 10 or more years to participate in work release program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB411 INTR.pdf
SB 412,Pending,Relating to wind power projects taxation at real property rates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB412 INTR.pdf
SB 413,Pending,Relating to use of aftermarket crash parts by repair shops,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB413 INTR.pdf
SB 414,Pending,Requiring DHHR file petition to terminate parental rights under certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB414 INTR.pdf
SB 415,Pending,Allowing county commissions to impose amusement tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB415 INTR.pdf
SB 416,Pending,Creating Fetal Heartbeat Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB416 INTR.pdf
SB 417,Pending,Relating to long-term care and substance abuse treatment,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB417 INTR.pdf
SB 418,Pending,Creating Small Business and Minority Populations Economic and Workforce Development Taskforce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB418 INTR.pdf
SB 419,Signed,"Redefining ""firearm"" to match federal code",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB419 SUB1 ENR.pdf
SB 420,Pending,"(""Requiring labeling of potentially harmful ingredients on menstrual products' packaging"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB420 INTR.pdf
SB 421,Signed,Authorizing Workforce West Virginia to hire at-will employees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB421 SUB1 ENR.pdf
SB 422,Pending,"Establishing common law ""veil piercing"" claims not be used to impose personal liability",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB422 SUB1.pdf
SB 423,Pending,Prohibiting abortion coverage in certain qualified health care plans,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB423 INTR.pdf
SB 424,Pending,Creating fixed income credit for low-income senior citizens,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB424 INTR.pdf
SB 425,Pending,Authorizing public retirement system participants to receive cash value of retirement benefits in lieu of regular payments,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB425 INTR.pdf
SB 426,Pending,Allowing parents decline required medication administered to newborns,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB426 INTR.pdf
SB 427,Pending,Limiting DEP employees entering private lands for environmental purposes only,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB427 INTR.pdf
SB 428,Pending,Transferring Parole Board to Office of Administrative Hearings,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB428 INTR.pdf
SB 429,Signed,Exempting Division of Emergency Management from Purchasing Division requirements for certain contracts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB429 SUB1 ENR.pdf
SB 430,Pending,Modifying form of certain deeds,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB430 INTR.pdf
SB 431,Signed,Relating to school attendance notification requirements to DMV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB431 SUB1 ENR.pdf
SB 432,Pending,Defining term “veteran” relating to veteran-owned businesses,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB432 INTR.pdf
SB 433,Pending,"(""Authorizing Division of Rehabilitation Services to approve training programs acceptable for training low vision individuals to obtain Class G driver's license"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB433 INTR.pdf
SB 434,Signed,Requiring training for law-enforcement officers responsible for investigating crimes of sexual assault,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB434 SUB1 ENR.pdf
SB 435,Signed,Requiring county superintendents to authorize certain school principals or administrators at nonpublic schools to issue work permits for enrolled students,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB435 SUB1 ENR.pdf
SB 436,Pending,Relating generally to solid waste facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB436 SUB1 ENG.pdf
SB 437,Signed,Extending contingent increase of tax rate on certain eligible acute care hospitals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB437 ENR.pdf
SB 438,Pending,"Supplementing, amending, and increasing items of existing appropriation from State Road Fund to DMV",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB438 INTR.pdf
SB 439,Signed,Allowing use or nonuse of safety belt as admissible evidence in civil actions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB439 SUB1 ENR.pdf
SB 440,Pending,Relating to requirements on abandoned or discontinued state highway or road,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB440 SUB1.pdf
SB 441,Pending,"Supplementing, amending, and increasing an existing item of appropriation from State Road Fund to DOH",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB441 INTR.pdf
SB 442,Pending,Relating to Unemployment Insurance Program Integrity Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB442 INTR.pdf
SB 443,Pending,"Supplementing, amending, decreasing, and increasing items of existing appropriation from State Road Fund to DOH",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB443 INTR.pdf
SB 444,Pending,Expiring funds to unappropriated surplus balance in State Fund from State Excess Lottery Revenue Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB444 INTR.pdf
SB 445,Pending,Reinstating film investment tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB445 SUB1.pdf
SB 446,Pending,Extending Neighborhood Investment Program Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB446 INTR.pdf
SB 447,Pending,Relating to economic incentive tax credits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB447 INTR.pdf
SB 448,Pending,Relating generally to property tax increment financing districts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB448 INTR.pdf
SB 449,Pending,Supplementing and amending appropriations from State Fund to Public Defender Services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB449 INTR.pdf
SB 450,Pending,Protecting albino deer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB450 INTR.pdf
SB 451,Pending,Relating to possession of firearms by individuals during declared state of emergency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB451 INTR.pdf
SB 452,Pending,Requiring development of comprehensive and strategic plan for off-highway vehicle recreation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB452 INTR.pdf
SB 453,Pending,"Creating inventory and mapping of all roads in state forests, state parks, national forests, and national parks",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB453 INTR.pdf
SB 454,Pending,Requiring DOH provide web-based interactive and downloadable road maps,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB454 INTR.pdf
SB 455,Pending,Creating reporting system for illegal gates on public roads,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB455 INTR.pdf
SB 456,Pending,Relating to Natural Resources Police Officers Retirement System,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB456 INTR.pdf
SB 457,Pending,"(""Expiring funds to unappropriated surplus balance in State Fund from Mine Subsidence Insurance Fund and Veterans' Facilities Support Fund"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB457 INTR.pdf
